symbol,trade_date,close,adj_close,volume
6669.TW,2026-01-02,4480,4480,1431999
6669.TW,2026-01-05,4540,4540,1364684
6669.TW,2026-01-06,4615,4615,1338619
6669.TW,2026-01-07,4670,4670,1980453
6669.TW,2026-01-08,4650,4650,2191949
6669.TW,2026-01-09,4240,4240,4758714
6669.TW,2026-01-12,4095,4095,2596313
6669.TW,2026-01-13,3900,3900,2843608
6669.TW,2026-01-14,3960,3960,1530759
6669.TW,2026-01-15,3945,3945,840512
6669.TW,2026-01-16,3825,3825,1693215
6669.TW,2026-01-19,3720,3720,2395264
6669.TW,2026-01-20,3670,3670,1736785
6669.TW,2026-01-21,3605,3605,1937366
6669.TW,2026-01-22,3765,3765,2396987
6669.TW,2026-01-23,3695,3695,1464483
6669.TW,2026-01-26,3840,3840,1761262
6669.TW,2026-01-27,3700,3700,1675671
6669.TW,2026-01-28,3705,3705,2034699
6669.TW,2026-01-29,3720,3720,1538948
6669.TW,2026-01-30,3575,3575,1096636
6669.TW,2026-02-02,3605,3605,979548
6669.TW,2026-02-03,3725,3725,1185237
6669.TW,2026-02-04,3680,3680,1210524
6669.TW,2026-02-05,3610,3610,1239615
6669.TW,2026-02-06,3645,3645,1376750
6669.TW,2026-02-09,3630,3630,1657814
6669.TW,2026-02-10,3685,3685,1673341
6669.TW,2026-02-11,3740,3740,910738
6669.TW,2026-02-23,3820,3820,2735018
6669.TW,2026-02-24,3835,3835,1428843
6669.TW,2026-02-25,4060,4060,2596146
6669.TW,2026-02-26,4000,4000,2623050
6669.TW,2026-03-02,4150,4150,3326170
6669.TW,2026-03-03,4145,4145,2221227
6669.TW,2026-03-04,3910,3910,1610724
6669.TW,2026-03-05,4220,4220,1976312
6669.TW,2026-03-06,4215,4215,1290865
6669.TW,2026-03-09,3930,3930,1676099
6669.TW,2026-03-10,3960,3960,1362524
6669.TW,2026-03-11,4190,4190,1275041
6669.TW,2026-03-12,4085,4085,1551823
6669.TW,2026-03-13,4070,4070,1123905
6669.TW,2026-03-16,4005,4005,1118863
6669.TW,2026-03-17,3965,3965,1748258
6669.TW,2026-03-18,3825,3825,3448861
6669.TW,2026-03-19,3765,3765,1585611
6669.TW,2026-03-20,3805,3805,1204204
6669.TW,2026-03-23,3645,3645,986696
6669.TW,2026-03-24,3725,3725,816126
6669.TW,2026-03-25,3760,3760,953261
6669.TW,2026-03-26,3465,3465,4083329
6669.TW,2026-03-27,3395,3395,1841064
6669.TW,2026-03-30,3370,3370,1114129
6669.TW,2026-03-31,3300,3300,1387162
6669.TW,2026-04-01,3420,3420,1327896
6669.TW,2026-04-02,3410,3410,1238667
6669.TW,2026-04-07,3395,3395,882493
6669.TW,2026-04-08,3570,3570,1575530
6669.TW,2026-04-09,3580,3580,1353531
6669.TW,2026-04-10,3630,3630,1199187
6669.TW,2026-04-13,3645,3645,1279296
6669.TW,2026-04-14,3755,3755,2010303
6669.TW,2026-04-15,3720,3720,1573098
6669.TW,2026-04-16,3700,3700,1264724
6669.TW,2026-04-17,3805,3805,2635353
6669.TW,2026-04-20,3980,3980,2112176
6669.TW,2026-04-21,4220,4220,3407767
6669.TW,2026-04-22,4350,4350,2871251
6669.TW,2026-04-23,4250,4250,3201178
6669.TW,2026-04-24,4635,4635,4493181
6669.TW,2026-04-27,4890,4890,5331715
6669.TW,2026-04-28,4800,4800,2250480
6669.TW,2026-04-29,4845,4845,2086751
6669.TW,2026-04-30,4675,4675,1927830
6669.TW,2026-05-04,4860,4860,2273438
6669.TW,2026-05-05,4755,4755,1774293
6669.TW,2026-05-06,4970,4970,2461128
6669.TW,2026-05-07,4880,4880,1840496
6669.TW,2026-05-08,5200,5200,3662915
6669.TW,2026-05-11,5340,5340,2052770
6669.TW,2026-05-12,5790,5790,3952176
6669.TW,2026-05-13,5580,5580,2662228
6669.TW,2026-05-14,5435,5435,1597124
6669.TW,2026-05-15,5115,5115,2061050
6669.TW,2026-05-18,5090,5090,1284302
6669.TW,2026-05-19,4890,4890,1484484
6669.TW,2026-05-20,4910,4910,1618754
6669.TW,2026-05-21,5345,5345,2191323
6669.TW,2026-05-22,5525,5525,1829705
6669.TW,2026-05-25,5610,5610,1927891
6669.TW,2026-05-26,5280,5280,2330951
6669.TW,2026-05-27,5075,5075,1603390
6669.TW,2026-05-28,4950,4950,1846526
6669.TW,2026-05-29,5445,5445,2901794
6669.TW,2026-06-01,5515,5515,2078952
6669.TW,2026-06-02,5475,5475,1736113
6669.TW,2026-06-03,5600,5600,1573891
6669.TW,2026-06-04,5570,5570,1557805
6669.TW,2026-06-05,5660,5660,1836008
6669.TW,2026-06-08,5275,5275,1725782
6669.TW,2026-06-09,5300,5300,1272819
6669.TW,2026-06-10,5065,5065,1756144
6669.TW,2026-06-11,4900,4900,2641570
6669.TW,2026-06-12,4850,4850,1723662
6669.TW,2026-06-15,4900,4900,877006
6669.TW,2026-06-16,5050,5050,653267
