symbol,trade_date,close,adj_close,volume
NET,2026-01-02,196.0200043,196.0200043,1662800
NET,2026-01-05,197.6600037,197.6600037,2227600
NET,2026-01-06,198,198,2485200
NET,2026-01-07,202.8099976,202.8099976,2155600
NET,2026-01-08,186.9600067,186.9600067,3871800
NET,2026-01-09,182.7799988,182.7799988,2683500
NET,2026-01-12,186.3899994,186.3899994,2436200
NET,2026-01-13,188.7100067,188.7100067,2196100
NET,2026-01-14,188.3899994,188.3899994,3014200
NET,2026-01-15,184.1399994,184.1399994,2675900
NET,2026-01-16,184.1699982,184.1699982,2289600
NET,2026-01-20,177.4199982,177.4199982,3613400
NET,2026-01-21,169.9700012,169.9700012,5105900
NET,2026-01-22,173.3000031,173.3000031,4278200
NET,2026-01-23,173.4400024,173.4400024,3652100
NET,2026-01-26,189.3500061,189.3500061,7867800
NET,2026-01-27,205.9499969,205.9499969,12530700
NET,2026-01-28,184.8800049,184.8800049,8947100
NET,2026-01-29,180.3899994,180.3899994,5966000
NET,2026-01-30,177.3500061,177.3500061,3497600
NET,2026-02-02,182.4199982,182.4199982,4382000
NET,2026-02-03,170.3099976,170.3099976,7647200
NET,2026-02-04,166.8800049,166.8800049,7490900
NET,2026-02-05,163.0500031,163.0500031,5936200
NET,2026-02-06,173.2100067,173.2100067,5383700
NET,2026-02-09,173.75,173.75,4666000
NET,2026-02-10,179.9799957,179.9799957,11424000
NET,2026-02-11,189.4100037,189.4100037,15668300
NET,2026-02-12,185.1699982,185.1699982,7640400
NET,2026-02-13,195.8500061,195.8500061,6699000
NET,2026-02-17,193.6799927,193.6799927,5822100
NET,2026-02-18,191.4400024,191.4400024,3459100
NET,2026-02-19,192.6399994,192.6399994,3001600
NET,2026-02-20,177.1399994,177.1399994,6606200
NET,2026-02-23,160.1900024,160.1900024,8524600
NET,2026-02-24,163.8099976,163.8099976,4803900
NET,2026-02-25,171.8000031,171.8000031,3881300
NET,2026-02-26,174.6600037,174.6600037,4101600
NET,2026-02-27,172.1900024,172.1900024,4441800
NET,2026-03-02,181.0200043,181.0200043,3356200
NET,2026-03-03,178.9100037,178.9100037,2782200
NET,2026-03-04,185.8899994,185.8899994,2744300
NET,2026-03-05,192.3099976,192.3099976,3823600
NET,2026-03-06,195.1900024,195.1900024,2863000
NET,2026-03-09,201.4799957,201.4799957,4229900
NET,2026-03-10,207.4900055,207.4900055,4181400
NET,2026-03-11,213,213,3418800
NET,2026-03-12,212.1100006,212.1100006,3602100
NET,2026-03-13,212.4499969,212.4499969,2542900
NET,2026-03-16,207.3300018,207.3300018,3311600
NET,2026-03-17,211.5200043,211.5200043,2954300
