symbol,trade_date,close,adj_close,volume
3231.TW,2026-01-02,155,155,90498843
3231.TW,2026-01-05,155,155,56534317
3231.TW,2026-01-06,154.5,154.5,33492977
3231.TW,2026-01-07,158.5,158.5,76129144
3231.TW,2026-01-08,151,151,71226115
3231.TW,2026-01-09,149,149,52097183
3231.TW,2026-01-12,146,146,44415872
3231.TW,2026-01-13,143.5,143.5,33549092
3231.TW,2026-01-14,146,146,31055514
3231.TW,2026-01-15,143.5,143.5,28593265
3231.TW,2026-01-16,145,145,33463880
3231.TW,2026-01-19,138.5,138.5,114964070
3231.TW,2026-01-20,136,136,59709472
3231.TW,2026-01-21,133.5,133.5,56498317
3231.TW,2026-01-22,135.5,135.5,45661404
3231.TW,2026-01-23,136.5,136.5,33657672
3231.TW,2026-01-26,136.5,136.5,28906035
3231.TW,2026-01-27,134.5,134.5,39584385
3231.TW,2026-01-28,134.5,134.5,36527068
3231.TW,2026-01-29,132.5,132.5,35906191
3231.TW,2026-01-30,130.5,130.5,34826912
3231.TW,2026-02-02,128,128,28718948
3231.TW,2026-02-03,128.5,128.5,25732576
3231.TW,2026-02-04,129,129,21697190
3231.TW,2026-02-05,127.5,127.5,32310459
3231.TW,2026-02-06,129,129,29262703
3231.TW,2026-02-09,131,131,27824631
3231.TW,2026-02-10,129.5,129.5,22968220
3231.TW,2026-02-11,131.5,131.5,29043873
3231.TW,2026-02-23,129.5,129.5,42787673
3231.TW,2026-02-24,131,131,25830553
3231.TW,2026-02-25,138,138,86034196
3231.TW,2026-02-26,136,136,55121686
3231.TW,2026-03-02,135,135,30332716
3231.TW,2026-03-03,131.5,131.5,36750883
3231.TW,2026-03-04,125,125,55433899
3231.TW,2026-03-05,128.5,128.5,35462422
3231.TW,2026-03-06,130.5,130.5,21838158
3231.TW,2026-03-09,127.5,127.5,42075721
3231.TW,2026-03-10,129,129,29175604
3231.TW,2026-03-11,133,133,35914667
3231.TW,2026-03-12,132.5,132.5,21767619
3231.TW,2026-03-13,134,134,33262555
3231.TW,2026-03-16,135,135,42124952
3231.TW,2026-03-17,134,134,38755175
3231.TW,2026-03-18,130.5,130.5,44790446
3231.TW,2026-03-19,127.5,127.5,34300552
3231.TW,2026-03-20,130,130,64581050
3231.TW,2026-03-23,125.5,125.5,31453986
3231.TW,2026-03-24,129,129,33369953
3231.TW,2026-03-25,128,128,34295698
3231.TW,2026-03-26,127,127,23614650
3231.TW,2026-03-27,127,127,17401712
3231.TW,2026-03-30,125.5,125.5,20628413
3231.TW,2026-03-31,122.5,122.5,35604116
3231.TW,2026-04-01,127,127,20883677
3231.TW,2026-04-02,125,125,15442098
3231.TW,2026-04-07,123.5,123.5,19333814
3231.TW,2026-04-08,131,131,40051640
3231.TW,2026-04-09,132.5,132.5,37014831
3231.TW,2026-04-10,135,135,41318353
3231.TW,2026-04-13,134.5,134.5,26649173
3231.TW,2026-04-14,136.5,136.5,38219552
3231.TW,2026-04-15,133,133,38851913
3231.TW,2026-04-16,134,134,35135274
3231.TW,2026-04-17,136.5,136.5,36436743
3231.TW,2026-04-20,140.5,140.5,77994003
3231.TW,2026-04-21,144.5,144.5,85081208
3231.TW,2026-04-22,144,144,49576390
3231.TW,2026-04-23,139.5,139.5,62304278
3231.TW,2026-04-24,141.5,141.5,40287344
3231.TW,2026-04-27,142.5,142.5,37839401
3231.TW,2026-04-28,140.5,140.5,27271123
3231.TW,2026-04-29,140.5,140.5,23062136
3231.TW,2026-04-30,137,137,26385585
3231.TW,2026-05-04,140.5,140.5,23062412
3231.TW,2026-05-05,142,142,24503918
3231.TW,2026-05-06,146.5,146.5,70542921
3231.TW,2026-05-07,146,146,42737489
3231.TW,2026-05-08,146.5,146.5,43633331
3231.TW,2026-05-11,139,139,112226942
3231.TW,2026-05-12,141.5,141.5,75040165
3231.TW,2026-05-13,140.5,140.5,26537220
3231.TW,2026-05-14,138,138,41736771
3231.TW,2026-05-15,135.5,135.5,66309559
3231.TW,2026-05-18,135.5,135.5,28704356
3231.TW,2026-05-19,132.5,132.5,25085203
3231.TW,2026-05-20,132.5,132.5,20317233
3231.TW,2026-05-21,140,140,52941630
3231.TW,2026-05-22,144.5,144.5,69220509
3231.TW,2026-05-25,149,149,68843252
3231.TW,2026-05-26,146,146,35025423
3231.TW,2026-05-27,145,145,36863945
3231.TW,2026-05-28,144.5,144.5,41046047
3231.TW,2026-05-29,158.5,158.5,110656858
3231.TW,2026-06-01,174,174,93762321
3231.TW,2026-06-02,191,191,279151386
3231.TW,2026-06-03,194,194,173144300
3231.TW,2026-06-04,176,176,124943605
3231.TW,2026-06-05,171,171,74300947
3231.TW,2026-06-08,163.5,163.5,69641015
3231.TW,2026-06-09,165.5,165.5,63995482
3231.TW,2026-06-10,158,158,41297501
3231.TW,2026-06-11,152.5,152.5,54074043
3231.TW,2026-06-12,156,156,37288055
3231.TW,2026-06-15,161.5,161.5,45902027
3231.TW,2026-06-16,159.5,159.5,15862205
