symbol,trade_date,close,adj_close,volume
4979.TWO,2026-01-02,327.5,327.5,24240070
4979.TWO,2026-01-05,317.5,317.5,17804874
4979.TWO,2026-01-06,298.5,298.5,21608960
4979.TWO,2026-01-07,295,295,21102630
4979.TWO,2026-01-08,309,309,23263555
4979.TWO,2026-01-09,298,298,23327651
4979.TWO,2026-01-12,290.5,290.5,19204891
4979.TWO,2026-01-13,273,273,22715251
4979.TWO,2026-01-14,280,280,14079289
4979.TWO,2026-01-15,277.5,277.5,6780323
4979.TWO,2026-01-16,273.5,273.5,10237782
4979.TWO,2026-01-19,264.5,264.5,12703465
4979.TWO,2026-01-20,290.5,290.5,27728769
4979.TWO,2026-01-21,294.5,294.5,49654457
4979.TWO,2026-01-22,287.5,287.5,22926923
4979.TWO,2026-01-23,291.5,291.5,12863162
4979.TWO,2026-01-26,286,286,16276774
4979.TWO,2026-01-27,293,293,34426269
4979.TWO,2026-01-28,322,322,52707565
4979.TWO,2026-01-29,334.5,334.5,68177159
4979.TWO,2026-01-30,316,316,29689594
4979.TWO,2026-02-02,319.5,319.5,26023699
4979.TWO,2026-02-03,314,314,29289090
4979.TWO,2026-02-04,328,328,20574972
4979.TWO,2026-02-05,319,319,23426763
4979.TWO,2026-02-06,318.5,318.5,20258972
4979.TWO,2026-02-09,338.5,338.5,36489556
4979.TWO,2026-02-10,333.5,333.5,44725414
4979.TWO,2026-02-11,325,325,14120857
4979.TWO,2026-02-23,357.5,357.5,24984157
4979.TWO,2026-02-24,393,393,16234037
4979.TWO,2026-02-25,405,405,26711965
4979.TWO,2026-02-26,421.5,421.5,30871771
4979.TWO,2026-03-02,462.5,462.5,25806993
4979.TWO,2026-03-03,464.5,464.5,6978976
4979.TWO,2026-03-04,418.5,418.5,4233413
4979.TWO,2026-03-05,400,400,7212884
4979.TWO,2026-03-06,379,379,4486166
4979.TWO,2026-03-09,341.5,341.5,1221821
4979.TWO,2026-03-10,349,349,3973240
4979.TWO,2026-03-11,383.5,383.5,2732380
4979.TWO,2026-03-12,387.5,387.5,3752242
4979.TWO,2026-03-13,401.5,401.5,3606989
4979.TWO,2026-03-16,427,427,3936210
4979.TWO,2026-03-17,395,395,25816011
4979.TWO,2026-03-18,383,383,26658270
4979.TWO,2026-03-19,391.5,391.5,25381990
4979.TWO,2026-03-20,404.5,404.5,27440912
4979.TWO,2026-03-23,380,380,21420667
4979.TWO,2026-03-24,387,387,15368523
4979.TWO,2026-03-25,425.5,425.5,15007537
4979.TWO,2026-03-26,411,411,32163744
4979.TWO,2026-03-27,396.5,396.5,1905990
4979.TWO,2026-03-30,379,379,1921925
4979.TWO,2026-03-31,341.5,341.5,1871705
4979.TWO,2026-04-01,375.5,375.5,1240029
4979.TWO,2026-04-02,384,384,1219642
4979.TWO,2026-04-07,404.5,404.5,1119623
4979.TWO,2026-04-08,421.5,421.5,1937964
4979.TWO,2026-04-09,429,429,1962431
4979.TWO,2026-04-10,449.5,449.5,3703139
4979.TWO,2026-04-13,465,465,2770097
4979.TWO,2026-04-14,485,485,24950808
4979.TWO,2026-04-15,533,533,12534482
4979.TWO,2026-04-16,586,586,32253460
4979.TWO,2026-04-17,644,644,4292397
4979.TWO,2026-04-20,708,708,9292797
4979.TWO,2026-04-21,655,655,4567639
4979.TWO,2026-04-22,629,629,2793153
4979.TWO,2026-04-23,567,567,4359617
4979.TWO,2026-04-24,604,604,3856224
4979.TWO,2026-04-27,546,546,2490036
4979.TWO,2026-04-28,561,561,1825091
4979.TWO,2026-04-29,560,560,1172376
4979.TWO,2026-04-30,609,609,1606230
4979.TWO,2026-05-04,669,669,1688629
4979.TWO,2026-05-05,718,718,1536974
4979.TWO,2026-05-06,703,703,19327781
4979.TWO,2026-05-07,700,700,15477254
4979.TWO,2026-05-08,660,660,13301191
4979.TWO,2026-05-11,672,672,13216463
4979.TWO,2026-05-12,659,659,18673400
4979.TWO,2026-05-13,600,600,2898460
4979.TWO,2026-05-14,589,589,1222377
4979.TWO,2026-05-15,531,531,2572167
4979.TWO,2026-05-18,551,551,1368654
4979.TWO,2026-05-19,523,523,872804
4979.TWO,2026-05-20,562,562,1056931
4979.TWO,2026-05-21,593,593,1023512
4979.TWO,2026-05-22,630,630,1072038
4979.TWO,2026-05-25,655,655,1255283
4979.TWO,2026-05-26,680,680,1400461
4979.TWO,2026-05-27,628,628,15597779
4979.TWO,2026-05-28,604,604,9372277
4979.TWO,2026-05-29,624,624,9264820
4979.TWO,2026-06-01,650,650,8886342
4979.TWO,2026-06-02,630,630,15796598
4979.TWO,2026-06-03,637,637,1612941
4979.TWO,2026-06-04,590,590,1268671
4979.TWO,2026-06-05,596,596,1260746
4979.TWO,2026-06-08,537,537,655735
4979.TWO,2026-06-09,560,560,805639
4979.TWO,2026-06-10,504,504,1405541
4979.TWO,2026-06-11,473,473,1756040
4979.TWO,2026-06-12,501,501,1112661
4979.TWO,2026-06-15,550,550,885638
4979.TWO,2026-06-16,561,561,247501
