symbol,trade_date,close,adj_close,volume
2330.TW,2026-01-02,1585,1575.641968,37512761
2330.TW,2026-01-05,1670,1660.140137,66871820
2330.TW,2026-01-06,1705,1694.933472,46751692
2330.TW,2026-01-07,1675,1665.110596,49857449
2330.TW,2026-01-08,1685,1675.051636,29215618
2330.TW,2026-01-09,1680,1670.081055,37387656
2330.TW,2026-01-12,1690,1680.021973,29987449
2330.TW,2026-01-13,1710,1699.904053,30171800
2330.TW,2026-01-14,1710,1699.904053,29100816
2330.TW,2026-01-15,1690,1680.021973,36391886
2330.TW,2026-01-16,1740,1729.726807,53551629
2330.TW,2026-01-19,1760,1749.608643,29580038
2330.TW,2026-01-20,1775,1764.520142,29401234
2330.TW,2026-01-21,1740,1729.726807,45192749
2330.TW,2026-01-22,1760,1749.608643,32069478
2330.TW,2026-01-23,1770,1759.549683,27601167
2330.TW,2026-01-26,1755,1744.638306,22960198
2330.TW,2026-01-27,1780,1769.490723,28985200
2330.TW,2026-01-28,1820,1809.254517,29301156
2330.TW,2026-01-29,1805,1794.34314,32224002
2330.TW,2026-01-30,1775,1764.520142,40825139
2330.TW,2026-02-02,1765,1754.579224,28251381
2330.TW,2026-02-03,1800,1789.372559,26744162
2330.TW,2026-02-04,1785,1774.46106,26952301
2330.TW,2026-02-05,1765,1754.579224,26299986
2330.TW,2026-02-06,1780,1769.490723,33263592
2330.TW,2026-02-09,1815,1804.283936,36529289
2330.TW,2026-02-10,1880,1868.900269,41859169
2330.TW,2026-02-11,1915,1903.693604,40488310
2330.TW,2026-02-23,1900,1888.782227,69816209
2330.TW,2026-02-24,1965,1953.398315,40961679
2330.TW,2026-02-25,2015,2003.103149,40832607
2330.TW,2026-02-26,1995,1983.221313,58561388
2330.TW,2026-03-02,1975,1963.339355,48884884
2330.TW,2026-03-03,1935,1923.575439,43090471
2330.TW,2026-03-04,1865,1853.98877,68160943
2330.TW,2026-03-05,1900,1888.782227,48120463
2330.TW,2026-03-06,1890,1878.841187,30082724
2330.TW,2026-03-09,1810,1799.313477,76459172
2330.TW,2026-03-10,1850,1839.077393,41375691
2330.TW,2026-03-11,1940,1928.546021,36167313
2330.TW,2026-03-12,1885,1873.870728,34040589
2330.TW,2026-03-13,1865,1853.98877,31214304
2330.TW,2026-03-16,1845,1834.106934,31249086
2330.TW,2026-03-17,1870,1865.024414,23812211
2330.TW,2026-03-18,1905,1899.931274,23068156
2330.TW,2026-03-19,1850,1845.077637,31040569
2330.TW,2026-03-20,1840,1835.104248,46312322
2330.TW,2026-03-23,1810,1805.184082,34902948
2330.TW,2026-03-24,1810,1805.184082,27001025
2330.TW,2026-03-25,1845,1840.090942,40964040
2330.TW,2026-03-26,1840,1835.104248,20958470
2330.TW,2026-03-27,1820,1815.157471,28974140
2330.TW,2026-03-30,1780,1775.263916,39889700
2330.TW,2026-03-31,1760,1755.317139,49221091
2330.TW,2026-04-01,1855,1850.064331,35537379
2330.TW,2026-04-02,1810,1805.184082,25132417
2330.TW,2026-04-07,1860,1855.051025,17953562
2330.TW,2026-04-08,1950,1944.811523,46515921
2330.TW,2026-04-09,1955,1949.798218,31835073
2330.TW,2026-04-10,2000,1994.678467,28637625
2330.TW,2026-04-13,1990,1984.705078,28968757
2330.TW,2026-04-14,2055,2049.532227,39113405
2330.TW,2026-04-15,2080,2074.465576,40343568
2330.TW,2026-04-16,2085,2079.452393,32038524
2330.TW,2026-04-17,2030,2024.598633,39260244
2330.TW,2026-04-20,2025,2019.611938,25407621
2330.TW,2026-04-21,2050,2044.54541,25783476
2330.TW,2026-04-22,2050,2044.54541,24762881
2330.TW,2026-04-23,2080,2074.465576,48682193
2330.TW,2026-04-24,2185,2179.186279,45088050
2330.TW,2026-04-27,2265,2258.973389,68696037
2330.TW,2026-04-28,2215,2209.106445,47175356
2330.TW,2026-04-29,2180,2174.199463,42895935
2330.TW,2026-04-30,2135,2129.319336,48975164
2330.TW,2026-05-04,2275,2268.946777,38390062
2330.TW,2026-05-05,2250,2244.013428,21625279
2330.TW,2026-05-06,2250,2244.013428,31918664
2330.TW,2026-05-07,2310,2303.85376,35034517
2330.TW,2026-05-08,2290,2283.906982,27102571
2330.TW,2026-05-11,2235,2229.053223,37244077
2330.TW,2026-05-12,2255,2249,44459541
2330.TW,2026-05-13,2220,2214.093018,35350292
2330.TW,2026-05-14,2270,2263.960205,31747100
2330.TW,2026-05-15,2265,2258.973389,29922154
2330.TW,2026-05-18,2240,2234.040039,25875079
2330.TW,2026-05-19,2205,2199.133057,34824449
2330.TW,2026-05-20,2185,2179.186279,29320253
2330.TW,2026-05-21,2230,2224.066406,22964974
2330.TW,2026-05-22,2255,2249,24437825
2330.TW,2026-05-25,2310,2303.85376,25215869
2330.TW,2026-05-26,2270,2263.960205,22586387
2330.TW,2026-05-27,2300,2293.880371,31986652
2330.TW,2026-05-28,2295,2288.893555,36889432
2330.TW,2026-05-29,2355,2348.733887,86132863
2330.TW,2026-06-01,2355,2348.733887,35023445
2330.TW,2026-06-02,2380,2373.66748,29610654
2330.TW,2026-06-03,2425,2418.547607,22536554
2330.TW,2026-06-04,2385,2378.654053,25054494
2330.TW,2026-06-05,2365,2358.707275,32795780
2330.TW,2026-06-08,2295,2288.893555,44721632
2330.TW,2026-06-09,2305,2298.866943,33252041
2330.TW,2026-06-10,2255,2249,42608467
2330.TW,2026-06-11,2250,2250,34790220
2330.TW,2026-06-12,2310,2310,21560608
2330.TW,2026-06-15,2375,2375,25573718
2330.TW,2026-06-16,2360,2360,8483384
