symbol,trade_date,close,adj_close,volume
2317.TW,2026-01-02,232,232,57704460
2317.TW,2026-01-05,234.5,234.5,63164221
2317.TW,2026-01-06,236,236,63939915
2317.TW,2026-01-07,238.5,238.5,82446725
2317.TW,2026-01-08,229.5,229.5,85561505
2317.TW,2026-01-09,230.5,230.5,36453268
2317.TW,2026-01-12,228.5,228.5,31525354
2317.TW,2026-01-13,226.5,226.5,42839849
2317.TW,2026-01-14,234.5,234.5,63677855
2317.TW,2026-01-15,233.5,233.5,34263022
2317.TW,2026-01-16,234.5,234.5,47340006
2317.TW,2026-01-19,229.5,229.5,51232322
2317.TW,2026-01-20,223.5,223.5,73125523
2317.TW,2026-01-21,219,219,72461575
2317.TW,2026-01-22,223.5,223.5,46717048
2317.TW,2026-01-23,221.5,221.5,32682740
2317.TW,2026-01-26,224,224,38021744
2317.TW,2026-01-27,225.5,225.5,35936182
2317.TW,2026-01-28,225.5,225.5,77656661
2317.TW,2026-01-29,224,224,54347878
2317.TW,2026-01-30,220.5,220.5,68997336
2317.TW,2026-02-02,214.5,214.5,61482988
2317.TW,2026-02-03,216.5,216.5,40387110
2317.TW,2026-02-04,219,219,26990407
2317.TW,2026-02-05,215.5,215.5,41975910
2317.TW,2026-02-06,215,215,54938386
2317.TW,2026-02-09,218.5,218.5,30183295
2317.TW,2026-02-10,221,221,46182261
2317.TW,2026-02-11,227,227,65872532
2317.TW,2026-02-23,228.5,228.5,81100478
2317.TW,2026-02-24,232,232,66757493
2317.TW,2026-02-25,246.5,246.5,162158621
2317.TW,2026-02-26,243,243,117910827
2317.TW,2026-03-02,239,239,72894162
2317.TW,2026-03-03,229,229,84561556
2317.TW,2026-03-04,217,217,117264053
2317.TW,2026-03-05,224,224,54395081
2317.TW,2026-03-06,223,223,36562334
2317.TW,2026-03-09,210.5,210.5,89078875
2317.TW,2026-03-10,209.5,209.5,66168862
2317.TW,2026-03-11,219,219,53568046
2317.TW,2026-03-12,214.5,214.5,42953811
2317.TW,2026-03-13,214.5,214.5,35894769
2317.TW,2026-03-16,216.5,216.5,37886518
2317.TW,2026-03-17,212,212,106419159
2317.TW,2026-03-18,210,210,72625994
2317.TW,2026-03-19,205,205,83275296
2317.TW,2026-03-20,203,203,89100557
2317.TW,2026-03-23,196,196,73041333
2317.TW,2026-03-24,195,195,53882508
2317.TW,2026-03-25,200,200,40930016
2317.TW,2026-03-26,200.5,200.5,40681455
2317.TW,2026-03-27,199.5,199.5,28552049
2317.TW,2026-03-30,194,194,44238703
2317.TW,2026-03-31,187.5,187.5,85781264
2317.TW,2026-04-01,197,197,44327183
2317.TW,2026-04-02,193,193,36299062
2317.TW,2026-04-07,192,192,35130860
2317.TW,2026-04-08,201.5,201.5,65536699
2317.TW,2026-04-09,200,200,40511384
2317.TW,2026-04-10,200.5,200.5,55780853
2317.TW,2026-04-13,200,200,36786764
2317.TW,2026-04-14,207.5,207.5,56963436
2317.TW,2026-04-15,207.5,207.5,69041187
2317.TW,2026-04-16,207,207,44353061
2317.TW,2026-04-17,206,206,47524705
2317.TW,2026-04-20,207.5,207.5,38137175
2317.TW,2026-04-21,211,211,55956369
2317.TW,2026-04-22,221,221,135835479
2317.TW,2026-04-23,225,225,169098376
2317.TW,2026-04-24,221.5,221.5,75559985
2317.TW,2026-04-27,228,228,106041417
2317.TW,2026-04-28,225.5,225.5,101695092
2317.TW,2026-04-29,225,225,42650013
2317.TW,2026-04-30,219.5,219.5,71802349
2317.TW,2026-05-04,227.5,227.5,55806920
2317.TW,2026-05-05,239.5,239.5,155860044
2317.TW,2026-05-06,252,252,233432260
2317.TW,2026-05-07,253.5,253.5,125546014
2317.TW,2026-05-08,250,250,98286050
2317.TW,2026-05-11,252,252,61755068
2317.TW,2026-05-12,250,250,81122139
2317.TW,2026-05-13,251,251,70431323
2317.TW,2026-05-14,244.5,244.5,71191228
2317.TW,2026-05-15,248.5,248.5,134968302
2317.TW,2026-05-18,248.5,248.5,60689919
2317.TW,2026-05-19,245,245,68744554
2317.TW,2026-05-20,240,240,61055296
2317.TW,2026-05-21,247.5,247.5,50459560
2317.TW,2026-05-22,250,250,55061095
2317.TW,2026-05-25,261,261,119013627
2317.TW,2026-05-26,259,259,54322447
2317.TW,2026-05-27,264,264,76194767
2317.TW,2026-05-28,263,263,71820253
2317.TW,2026-05-29,289,289,282852094
2317.TW,2026-06-01,293.5,293.5,194094294
2317.TW,2026-06-02,301.5,301.5,110375105
2317.TW,2026-06-03,309,309,146416447
2317.TW,2026-06-04,293,293,105281727
2317.TW,2026-06-05,284.5,284.5,89253266
2317.TW,2026-06-08,269.5,269.5,112878529
2317.TW,2026-06-09,277.5,277.5,71791661
2317.TW,2026-06-10,263,263,82371415
2317.TW,2026-06-11,258.5,258.5,88135941
2317.TW,2026-06-12,260.5,260.5,58714860
2317.TW,2026-06-15,267.5,267.5,53635501
2317.TW,2026-06-16,269.5,269.5,31686691
