mention_id,ticker,market,stance,base_trade_date,base_price,current_trade_date,current_price,current_return,benchmark_current_return,excess_current_return,return_7d,return_30d,return_90d,return_180d,benchmark_return_7d,benchmark_return_30d,benchmark_return_90d,benchmark_return_180d,excess_return_7d,excess_return_30d,excess_return_90d,excess_return_180d,calculation_status,notes
m_20260530_007,CRM,US,bullish,2026-06-01,209.0604248,2026-06-12,165.8899994,-0.2064973581,-0.04422708613,-0.162270272,-0.1290553292,,,,-0.04272006808,,,,-0.08633526108,,,,pending_price,price source Yahoo chart symbol=CRM; 3 horizon target prices unavailable
m_20260530_008,NOW,US,bullish,2026-06-01,135.8600006,2026-06-15,104.1500015,-0.2334020237,-0.04422708613,-0.1891749376,-0.1595024148,,,,-0.04272006808,,,,-0.1167823467,,,,pending_price,price source Yahoo chart symbol=NOW; 3 horizon target prices unavailable
m_20260530_009,,concept,watch,,,,,,,,,,,,,,,,,,,,not_applicable,approved concept stance is not bullish/bearish
m_20260530_010,concept_proxy:被動元件,concept,bullish,2026-06-01,1,2026-06-16,1.203210185,0.203210185,0.01039486047,0.1928153245,-0.06795413106,,,,-0.0404766982,,,,-0.02747743286,,,,pending_price,concept proxy basket=被動元件; symbols=2327.TW;2492.TW;6173.TWO; 3 horizon target prices unavailable
m_20260530_011,NET,US,past_review,2026-06-01,270.8200073,2026-06-15,235.7100067,-0.1296433043,-0.04422708613,-0.08541621813,-0.08503808218,,,,-0.04272006808,,,,-0.0423180141,,,,pending_price,price source Yahoo chart symbol=NET; 3 horizon target prices unavailable
m_20260527_007,concept_proxy:被動元件,concept,bullish,2026-05-28,1,2026-06-16,1.287897927,0.2878979271,0.04979209876,0.2381058284,-0.003915781238,,,,0.0467732809,,,,-0.05068906214,,,,pending_price,concept proxy basket=被動元件; symbols=2327.TW;2492.TW;6173.TWO; 3 horizon target prices unavailable
m_20260527_008,,concept,bullish,,,,,,,,,,,,,,,,,,,,not_applicable,approved concept mention has no active proxy basket
auto_20260506_659_3443,3443,TWSE,past_review,2026-05-07,5425.283691,2026-06-16,4920,-0.09313498061,0.09241737904,-0.1855523596,-0.06880733573,-0.215709216,,,-0.004340921438,0.03741613452,,,-0.0644664143,-0.2531253505,,,pending_price,price source Yahoo chart symbol=3443.TW; 2 horizon target prices unavailable
auto_20260509_660_2330,2330,TWSE,past_review,2026-05-11,2229.053223,2026-06-16,2400,0.07669030762,0.0961743761,-0.01948406848,0.002237190371,0.008948542431,,,-0.02149406609,0.03434980752,,,0.02373125646,-0.02540126508,,,pending_price,price source Yahoo chart symbol=2330.TW; 2 horizon target prices unavailable
auto_20260516_662_2330,2330,TWSE,past_review,2026-05-18,2234.040039,2026-06-16,2400,0.07428692326,0.1202531718,-0.04596624855,0.03124998634,,,,0.06731366087,,,,-0.03606367453,,,,pending_price,price source Yahoo chart symbol=2330.TW; 3 horizon target prices unavailable
auto_20260530_666_pltr,PLTR,US,past_review,2026-06-01,160.6499939,2026-06-15,134.7100067,-0.1614689584,-0.04422708613,-0.1172418723,-0.1505134989,,,,-0.04272006808,,,,-0.1077934308,,,,pending_price,price source Yahoo chart symbol=PLTR; 3 horizon target prices unavailable
auto_20260606_668_2330,2330,TWSE,bearish,2026-06-08,2288.893555,2026-06-16,2400,0.04854155191,0.05301753336,-0.004475981447,-0.03761924408,,,,0.05301753336,,,,-0.09063677744,,,,pending_price,price source Yahoo chart symbol=2330.TW; 3 horizon target prices unavailable
auto_20260606_668_snow,SNOW,US,watch,2026-06-08,240.4499969,2026-06-15,240.7799988,0.001372434332,-0.001574271018,0.002946705351,0.001372434332,,,,,,,,,,,,pending_price,price source Yahoo chart symbol=SNOW; 3 horizon target prices unavailable
auto_20260610_669_2330,2330,TWSE,bullish,2026-06-11,2250,2026-06-16,2400,0.06666666667,0.06163994662,0.005026720049,,,,,,,,,,,,,pending_price,price source Yahoo chart symbol=2330.TW; 4 horizon target prices unavailable
