episode_id,title,chunk_index,chunk_path,chunk_bytes,split_seconds,chunk_status,created_at,notes
ep_20260530_666,EP666 | 🍐,0,data/raw/audio_chunks/ep_20260530_666_000.mp3,15378620,900,ready,2026-06-06T01:26:47+00:00,local chunk file is gitignored
ep_20260530_666,EP666 | 🍐,1,data/raw/audio_chunks/ep_20260530_666_001.mp3,15328817,900,ready,2026-06-06T01:26:47+00:00,local chunk file is gitignored
ep_20260530_666,EP666 | 🍐,2,data/raw/audio_chunks/ep_20260530_666_002.mp3,15059849,900,ready,2026-06-06T01:26:47+00:00,local chunk file is gitignored
ep_20260530_666,EP666 | 🍐,3,data/raw/audio_chunks/ep_20260530_666_003.mp3,10374743,900,ready,2026-06-06T01:26:47+00:00,local chunk file is gitignored
ep_20260603_667,EP667 | 🌍,0,data/raw/audio_chunks/ep_20260603_667_000.mp3,14829598,900,ready,2026-06-06T00:58:56+00:00,local chunk file is gitignored
ep_20260603_667,EP667 | 🌍,1,data/raw/audio_chunks/ep_20260603_667_001.mp3,14781008,900,ready,2026-06-06T00:58:56+00:00,local chunk file is gitignored
ep_20260603_667,EP667 | 🌍,2,data/raw/audio_chunks/ep_20260603_667_002.mp3,14645420,900,ready,2026-06-06T00:58:56+00:00,local chunk file is gitignored
ep_20260603_667,EP667 | 🌍,3,data/raw/audio_chunks/ep_20260603_667_003.mp3,5721668,900,ready,2026-06-06T00:58:56+00:00,local chunk file is gitignored
ep_20260606_668,EP668 | 🦞,0,data/raw/audio_chunks/ep_20260606_668_000.mp3,15353932,900,ready,2026-06-16T03:16:54+00:00,local chunk file is gitignored
ep_20260606_668,EP668 | 🦞,1,data/raw/audio_chunks/ep_20260606_668_001.mp3,15270666,900,ready,2026-06-16T03:16:54+00:00,local chunk file is gitignored
ep_20260606_668,EP668 | 🦞,2,data/raw/audio_chunks/ep_20260606_668_002.mp3,15419393,900,ready,2026-06-16T03:16:54+00:00,local chunk file is gitignored
ep_20260606_668,EP668 | 🦞,3,data/raw/audio_chunks/ep_20260606_668_003.mp3,5113592,900,ready,2026-06-16T03:16:54+00:00,local chunk file is gitignored
ep_20260610_669,EP669 | 🎈,0,data/raw/audio_chunks/ep_20260610_669_000.mp3,14476307,900,ready,2026-06-16T03:15:04+00:00,local chunk file is gitignored
ep_20260610_669,EP669 | 🎈,1,data/raw/audio_chunks/ep_20260610_669_001.mp3,14314340,900,ready,2026-06-16T03:15:04+00:00,local chunk file is gitignored
ep_20260610_669,EP669 | 🎈,2,data/raw/audio_chunks/ep_20260610_669_002.mp3,14481195,900,ready,2026-06-16T03:15:04+00:00,local chunk file is gitignored
ep_20260610_669,EP669 | 🎈,3,data/raw/audio_chunks/ep_20260610_669_003.mp3,5497720,900,ready,2026-06-16T03:15:04+00:00,local chunk file is gitignored
ep_20260613_670,EP670 | 🫡,0,data/raw/audio_chunks/ep_20260613_670_000.mp3,15024707,900,ready,2026-06-16T03:13:40+00:00,local chunk file is gitignored
ep_20260613_670,EP670 | 🫡,1,data/raw/audio_chunks/ep_20260613_670_001.mp3,15051848,900,ready,2026-06-16T03:13:40+00:00,local chunk file is gitignored
ep_20260613_670,EP670 | 🫡,2,data/raw/audio_chunks/ep_20260613_670_002.mp3,15009048,900,ready,2026-06-16T03:13:40+00:00,local chunk file is gitignored
ep_20260613_670,EP670 | 🫡,3,data/raw/audio_chunks/ep_20260613_670_003.mp3,7173587,900,ready,2026-06-16T03:13:40+00:00,local chunk file is gitignored
